Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
paniculata,19,III,DN15369,MOUNM_DN15369,2570,-4.484444444,-79.13305556,77.67,27,0,0,0,0,0,0,,
paniculata,19,III,FZ202,MOUNM_FZ202,3186,-13.18172222,-71.59766667,84.33,28.33,0,0,0,0,0,0,,
paniculata,19,III,FZ266,MOUNM_FZ266,3020,-16.3,-67.8,90.67,31,0,0,0,0,0,0,,
paniculata,19,III,FZ268,MOUNM_FZ268,2970,-16.30888889,-67.81361111,102.67,31.33,0,0,0,0,0,0,,
paniculata,19,III,RS7875,US1988746,2500,1.1125,-77.4,96.67,32.67,0,0,0,0,0,0,,
resinosa,24,III,CD5089,MO2597943,2890,-17.68333333,-65.1,31.33,8.5,3.01,1.71,0.97,0.61,6.73,3.1,4.1,3.8
resinosa,24,III,JS15148,MO3413772,3500,-16.56666667,-67.75,32.67,8.33,2,1.83,0.99,0.76,6.6,2.95,4.5,4.21
piurensis,24,III,AS3821,F1684348,3230,-7.365833333,-79.01027778,35.67,10,3.7,1.55,0.98,0.53,6.5,3.39,4.65,4.35
resinosa,24,III,NA763,MOUNM_NA763,2860,-17.57611111,-66.27194444,24.33,7.67,1.99,1.79,0.69,0.45,6.44,3.13,4,3.3
piurensis,24,III,FZ239,MO6280719,2709,-7.328138889,-78.81075,34.33,11.83,2.83,1.83,1.03,0.55,6.43,3.51,4.3,3.7
resinosa,24,III,NR751,MO5689921,3020,-17.31083333,-66.29861111,20.67,6.17,2.24,1.93,1.01,0.44,6.31,2.91,3.7,3.3
resinosa,24,III,FZ165,MOUNM_FZ165,3698,-13.50130556,-71.98333333,44.67,9,2.1,1.75,0.9,0.48,6.22,3.28,3.6,3.2
resinosa,24,III,ML37126,MO5689929,3350,-16.96666667,-67.21666667,37,9.3,2.85,1.76,1,0.5,6,3.21,3.6,3.4
resinosa,24,III,JS15923,MO3684550,3200,-17.66666667,-65.15,23,7,2.72,1.61,0.8,0.42,5.93,2.74,4.1,3.75
resinosa,24,III,ML35050,MO4052295,3000,-16.91666667,-67.16666667,32,9,2.7,1.86,0.77,0.49,5.85,3.06,3.99,3.25
resinosa,24,III,FZ205,MOUNM_FZ205,3383,-13.21311111,-71.63272222,43,9.67,2.4,1.65,0.85,0.52,5.68,3.23,4,3.2
resinosa,24,III,FZ163,MOUNM_FZ163,3265,-13.50395833,-71.98066667,35.67,9.5,1.96,1.8,0.96,0.55,5.58,3.02,3.5,2.5
